dt,sunrise,sunset,moonrise,moonset,moon_phase,summary,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,rain,City,Latitude,Longitude,snow,day,min,max,night,eve,morn,average_min_temp,average_max_temp,rain_fall,avg_clouds,City_ID
2025-02-07 12:00:00+00:00,1738912955,1738947892,1738926960,1738900560,0.33,There will be partly cloudy today,"{'day': 4.95, 'min': 2.95, 'max': 4.95, 'night': 3, 'eve': 3.83, 'morn': 2.95}","{'day': 0.34, 'night': -2.21, 'eve': -1.09, 'morn': -2.48}",1027,69,-0.27,9.03,54,13.9,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",85,0.0,1.25,,Le Havre,49.49,0.11,,4.95,2.95,4.95,3.0,3.83,2.95,4.32125,7.7025,0.7225,48.25,244
2025-02-08 12:00:00+00:00,1738999260,1739034395,1739016540,1738991220,0.36,"You can expect partly cloudy in the morning, with rain in the afternoon","{'day': 4.43, 'min': 2.31, 'max': 5.85, 'night': 5.62, 'eve': 5.63, 'morn': 2.31}","{'day': 0.91, 'night': 2.35, 'eve': 2.12, 'morn': -1.44}",1028,79,1.01,5.73,63,7.15,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",66,0.94,2.0,0.9,Le Havre,49.49,0.11,,4.43,2.31,5.85,5.62,5.63,2.31,4.32125,7.7025,0.7225,48.25,244
2025-02-09 12:00:00+00:00,1739085563,1739120897,1739106960,1739080920,0.4,"The day will start with rain through the late morning hours, transitioning to partly cloudy","{'day': 7.85, 'min': 5.2, 'max': 7.96, 'night': 5.2, 'eve': 6.22, 'morn': 6.03}","{'day': 4.86, 'night': 0.9, 'eve': 1.73, 'morn': 3.05}",1037,77,3.93,8.08,50,10.36,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",99,1.0,2.0,1.74,Le Havre,49.49,0.11,,7.85,5.2,7.96,5.2,6.22,6.03,4.32125,7.7025,0.7225,48.25,244
2025-02-10 12:00:00+00:00,1739171864,1739207400,1739197980,1739169780,0.43,"You can expect partly cloudy in the morning, with clearing in the afternoon","{'day': 6.17, 'min': 3.07, 'max': 7.61, 'night': 4.53, 'eve': 5.68, 'morn': 3.07}","{'day': 3.47, 'night': 1.46, 'eve': 2.37, 'morn': -1.34}",1032,67,0.38,6.23,68,9.77,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",14,0.0,2.0,,Le Havre,49.49,0.11,,6.17,3.07,7.61,4.53,5.68,3.07,4.32125,7.7025,0.7225,48.25,244
2025-02-03 12:00:00+00:00,1738567477,1738601657,1738574700,0,0.18,Expect a day of partly cloudy with clear spells,"{'day': 6.5, 'min': 0.92, 'max': 6.5, 'night': 2.87, 'eve': 3.31, 'morn': 1.06}","{'day': 5.04, 'night': 1.43, 'eve': 3.31, 'morn': -0.96}",1027,72,1.82,2.08,218,3.16,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",21,0.0,1.35,,Rouen,49.44,1.09,,6.5,0.92,6.5,2.87,3.31,1.06,1.93,7.5275,0.1233333333333333,59.875,308
2025-02-04 12:00:00+00:00,1738653788,1738688159,1738662180,1738625940,0.22,There will be clear sky today,"{'day': 8.79, 'min': 0.53, 'max': 10.29, 'night': 4.66, 'eve': 5.45, 'morn': 0.61}","{'day': 6.41, 'night': 2.41, 'eve': 2.91, 'morn': -2.25}",1027,69,2.98,4.24,212,7.14,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,0.0,1.31,,Rouen,49.44,1.09,,8.79,0.53,10.29,4.66,5.45,0.61,1.93,7.5275,0.1233333333333333,59.875,308
2025-02-05 12:00:00+00:00,1738740098,1738774661,1738749840,1738717500,0.25,Expect a day of partly cloudy with clear spells,"{'day': 9.65, 'min': 3.8, 'max': 10.03, 'night': 4.34, 'eve': 5.51, 'morn': 4.19}","{'day': 8.16, 'night': 2.24, 'eve': 3.38, 'morn': 2.36}",1040,66,3.25,3.17,341,8.83,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",53,0.0,1.29,,Rouen,49.44,1.09,,9.65,3.8,10.03,4.34,5.51,4.19,1.93,7.5275,0.1233333333333333,59.875,308
2025-02-06 12:00:00+00:00,1738826406,1738861163,1738837980,1738809060,0.29,There will be partly cloudy today,"{'day': 7.49, 'min': 3.53, 'max': 8.01, 'night': 4.22, 'eve': 4.39, 'morn': 4.34}","{'day': 3.88, 'night': -0.31, 'eve': 0.1, 'morn': 0.78}",1039,67,1.49,6.78,52,12.69,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",98,0.0,1.2,,Rouen,49.44,1.09,,7.49,3.53,8.01,4.22,4.39,4.34,1.93,7.5275,0.1233333333333333,59.875,308
2025-02-07 12:00:00+00:00,1738912713,1738947665,1738926720,1738900320,0.33,"You can expect partly cloudy in the morning, with rain in the afternoon","{'day': 4.61, 'min': 1.56, 'max': 4.61, 'night': 2.8, 'eve': 1.87, 'morn': 1.56}","{'day': 0.13, 'night': -1.36, 'eve': -2.81, 'morn': -3.62}",1026,72,-0.47,6.67,68,13.76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",97,0.2,1.22,0.1,Rouen,49.44,1.09,,4.61,1.56,4.61,2.8,1.87,1.56,1.93,7.5275,0.1233333333333333,59.875,308
2025-02-08 12:00:00+00:00,1738999017,1739034167,1739016360,1738990920,0.36,"You can expect partly cloudy in the morning, with rain in the afternoon","{'day': 4.87, 'min': 1.16, 'max': 5.03, 'night': 4.95, 'eve': 4.83, 'morn': 2.04}","{'day': 2.53, 'night': 2.92, 'eve': 2.04, 'morn': -0.27}",1028,83,1.92,4.24,55,7.92,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",100,0.2,2.0,0.12,Rouen,49.44,1.09,,4.87,1.16,5.03,4.95,4.83,2.04,1.93,7.5275,0.1233333333333333,59.875,308
